query,answer
,"Федеральный закон No 44-ФЗ от 5 апреля 2013 года «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд» Глава 1. ОБЩЕ ПОЛОЖЕНИЯ Глава 2. ОБЩИЕ ПОЛОЖения Глава 1. Глава 1. Общие и экономические отношения контрактной системы Глава 1. Объем контрактной системы, Глава 2. Глава 2. Общие требования контрактной системы в сфере покупок товаров и работ, услуг «для обеспечения госнужд», Глава 2. Объем контракта Глава 1."
Статья 1. Сфера применения настоящего Федерального закона,"Федеральный закон о закупках товаров, работ, услуг для обеспечения государственных и муниципальных нужд в целях повышения эффективности, результативности осуществления закупок, предотвращения коррупции и других злоупотреблений в сфере таких закупок. Настоящий закон не применяется к отношениям, связанным с закупками драгоценных металлов и камней."
"Статья 2. Законодательство Российской Федерации и иные нормативные правовые акты о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд","Законодательство Российской Федерации о контрактной системе в сфере закупок должно соответствовать настоящему Федеральному закону и другим федеральным законам, регулирующим отношения, указанные в части 1 статьи 1 настоящего Федерального закона. В случае, если международным договором установлены иные правила, применяются правила международного договора."
"Статья 3. Основные понятия, используемые в настоящем Федеральном законе","Федеральный закон о контрактной системе в сфере закупок - совокупность действий, направленных на обеспечение государственных и муниципальных нужд (федеральных нужд, нужд субъекта Российской Федерации), осуществляемых заказчиками в порядке, установленном настоящим Федеральным законом."
Статья 4. Информационное обеспечение контрактной системы в сфере закупок,"Единая информационная система в сфере закупок утратила силу с 1 октября 2019 года. Единая информационной система обеспечивает формирование, обработку, хранение и предоставление данных участникам контрактной системы в рамках отношений, указанных в части 1 статьи 1 настоящего Федерального закона. Документ содержит планы-графики, извещения об осуществлении закупок, протоколы определения поставщиков (подрядчиков, исполнителей) и информацию о запретах и ограничениях допуска товаров, происходящих из иностранного государства или группы иностранных государств."
Статья 5. Организация документооборота в контрактной системе в сфере закупок,"В рамках настоящего Федерального закона, предусмотренного законодательством Российской Федерации и иными нормативными правовыми актами о контрактной системе в сфере закупок, допускается обмен электронными документами между участниками контрактной системы, в том числе подача заявок на участие в определении поставщиков (подрядчиков, исполнителей)."
Статья 6. Принципы контрактной системы в сфере закупок,"Контрактная система в сфере закупок основывается на принципах открытости, прозрачности информации, обеспечения конкуренции, профессионализма заказчиков, ответственности за результативность обеспечения государственных и муниципальных нужд, эффективности осуществления закупок."
Статья 7. Принципы открытости и прозрачности,"В Российской Федерации обеспечивается свободный и безвозмездный доступ к информации о контрактной системе в сфере закупок. Информация, размещенная в единой информационной системе, должна быть полной и достоверной."
Статья 8. Принцип обеспечения конкуренции,"Контрактная система в сфере закупок направлена на создание равных условий для обеспечения конкуренции между участниками закупок. Запрещается совершение любых действий, которые противоречат требованиям настоящего Федерального закона, в том числе к необоснованному ограничению числа участников закупок."
Статья 9. Принцип профессионализма заказчика,"Контрактная система в сфере закупок предусматривает осуществление деятельности заказчика, специализированной организации и контрольного органа в сфере покупок на профессиональной основе с привлечением квалифицированных специалистов, обладающих теоретическими знаниями и навыками. Заказчики и специализированные организации принимают меры по поддержанию и повышению уровня квалификации и профессионального образования должностных лиц."
Статья 10. Принцип стимулирования инноваций,Заказчики при планировании и осуществлении закупок должны исходить из приоритета обеспечения государственных и муниципальных нужд путем закупок инновационной и высокотехнологичной продукции. При планировании закупок необходимо исходить из обеспечения госнужд путем приобретения инновационной продукции.
Статья 11. Принцип единства контрактной системы в сфере закупок,"Контрактная система в сфере закупок основывается на единых принципах и подходах, предусмотренных настоящим Федеральным законом и позволяющих обеспечивать государственные и муниципальные нужды посредством планирования и осуществления закупок, их мониторинга, аудита, а также контроля."
"Статья 12. Принцип ответственности за результативность обеспечения государственных и муниципальных нужд, эффективность осуществления закупок","Государственные органы, органы управления государственными внебюджетными фондами, муниципальные органы, казенные учреждения, иные юридические лица несут персональную ответственность за соблюдение требований контрактной системы в сфере закупок и нормативными правовыми актами, указанными в частях 2 и 3 статьи 2 настоящего Федерального закона."
Статья 14. Применение национального режима при осуществлении закупок,"Федеральный орган исполнительной власти по регулированию контрактной системы в сфере закупок размещает перечень иностранных государств, с которыми Российская Федерация заключила международные договоры, и условия применения национального режима на равных условиях с товарами российского происхождения, работами, услугами, соответственно выполняемыми, оказываемыми иностранными лицами."
"Статья 15. Особенности закупок, осуществляемых бюджетным, автономным учреждениями, государственным, муниципальным унитарными предприятиями и иными юридическими лицами","Государственные, муниципальные унитарные предприятия осуществляют закупки за счет субсидий, предоставленных из бюджетов бюджетной системы Российской Федерации и иных средств в соответствии с требованиями настоящего Федерального закона, за исключением закупок федеральных государственных унитарных предприятий."
Статья 16. Планирование закупок,"Правительство Российской Федерации вправе установить особенности включения в планы-графики информации о централизованных закупках, совместных конкурсах и аукционах, а также о отдельных закупках, предусмотренных статьей 23 настоящего Федерального закона. План-график формируется на срок, соответствующий сроку действия федерального закона о федеральном бюджете на очередной финансовый год и плановый период."
Статья 18. Обоснование закупок,"В целях настоящего Федерального закона обоснованной признается закупка, осуществляемая в соответствии с положениями статей 19 и 22 настоящего закона. Оценка обоснованности осуществления закупок проводится в ходе аудита в сфере закупок и контроля. Эксперты считают, что в случае признания закупки необоснованной органы контроля привлекают к административной ответственности лиц, виновных в нарушениях законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе."
Статья 19. Нормирование в сфере закупок,"Правительство Российской Федерации устанавливает правила нормирования в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд, в том числе предельной цены и нормативных затрат на обеспечение функций государственных органов, органов управления государственными внебюджетными фондами, муниципальных органов."
Статья 20. Общественное обсуждение закупок,"Общественное обсуждение закупок проводится в целях публичного обсуждения соответствия планируемой закупки требованиям законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок. Закупки, подлежащие общественному обсуждению, могут быть осуществлены без проведения общественного обсуждения."
"Статья 22. Начальная (максимальная) цена контракта, цена контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), начальная сумма цен единиц товара, работы, услуги","Цена контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), определяется и обосновывается заказчиком на основании информации о рыночных ценах идентичных товаров, работ, услуг, планируемых к закупкам, или при их отсутствии однородных товаров. Эксперты считают, что метод сопоставимых рыночных цен (анализа рынка) является приоритетным для определения и обоснования цен."
"Статья 23. Идентификационный код закупки, каталог товаров, работ, услуг для обеспечения государственных и муниципальных нужд","Идентификационный код закупки указывается в плане-графике, приглашении принять участие в определении поставщика (подрядчика, исполнителя) и документации о закупке, в контракте, а также в иных документах, предусмотренных настоящим Федеральным законом. Утратил силу с 1 июля 2019 года."
"Статья 24. Способы определения поставщиков (подрядчиков, исполнителей)","Заказчики при осуществлении закупок применяют конкурентные способы определения поставщиков (подрядчиков, исполнителей) или осуществляют закупки у единственного поставщика (подрядчика, исполнителя). Победителем конкурса признается участник закупки, который предложил лучшие условия исполнения контракта и заявка на участие в закупке которого соответствует требованиям, установленным в извещении об осуществлении закупки, документации о закупке."
"Статья 24.1. Особенности проведения электронных процедур, закрытых электронных процедур","Правительством Российской Федерации устанавливаются единые требования к операторам электронных площадок, операторам специализированных электронных платформ, а также к уставному капиталу и раскрытию информации о юридических и физических лицах, которые прямо или косвенно владеют более чем одним процентом голосующих акций оператора электронной площадки."
"Статья 24.2. Регистрация участников закупок в единой информационной системе и их аккредитация на электронных площадках, специализированных электронных площадках. Единый реестр участников закупок","Регистрация участников закупок в единой информационной системе осуществляется в электронной форме на основании информации и документов в порядке и сроки, которые определяются Правительством Российской Федерации. Информация и документы об участниках закупок, аккредитованных на электронной площадке, вносятся в единый реестр участников."
Статья 25. Совместные конкурсы и аукционы,"Соглашение о проведении совместного конкурса или аукциона может быть принято в соответствии с настоящим Федеральным законом. В случае, если участник закупки подает предложение о цене контракта, участники закупки могут снизить его максимальное значение цены."
Статья 26. Централизованные закупки,"В целях централизации закупок могут быть созданы государственные органы, муниципальные органы, казенные учреждения, уполномоченные на определение поставщиков (подрядчиков, исполнителей) для заказчиков, а также несколько государственных органов, казенных учреждений из числа существующих."
"Статья 27. Участие в определении поставщиков (подрядчиков, исполнителей)","Участие в определении поставщиков (подрядчиков, исполнителей) может быть ограничено только в случаях, предусмотренных настоящим Федеральным законом. Участники закупки имеют право выступать в отношениях, связанных с осуществлением закупок, как непосредственно, так и через своих представителей."
Статья 28. Участие учреждений и предприятий уголовно-исполнительной системы в закупках,"В случае заключения по конкурентным способам контракта с участником закупки, являющимся учреждением или предприятием уголовно-исполнительной системы, цена контракта увеличивается на пятнадцать процентов соответственно от цены каждой единицы товара, работы, услуги, определенной в соответствии с настоящим Федеральным законом."
Статья 29. Участие организаций инвалидов в закупках,"В случае заключения по конкурентным способам контракта с участником закупки, являющимся организацией инвалидов, цена контракта увеличивается на пятнадцать процентов соответственно от цены каждой единицы товара, работы, услуги, определенной в соответствии с настоящим Федеральным законом. Действие настоящей статьи распространяется на общероссийские общественные организации инвалидов, среди членов которых инвалиды и их законные представители составляют не менее чем восемьдесят процентов."
"Статья 30. Участие субъектов малого предпринимательства, социально ориентированных некоммерческих организаций в закупках","Заказчики обязаны осуществлять закупки у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций в объеме не менее чем двадцать пять процентов совокупного годового объема закупок, рассчитанного с учетом части 1.1 настоящей статьи. При этом объем таких закупок учитывается в объеме закупок, осуществленных заказчиками, в том числе для обеспечения обороны страны и безопасности государства."
Статья 30.1. Особенности осуществления закупок для целей достижения заказчиком минимальной доли закупок,"Правительством Российской Федерации определяются требования к содержанию и форме отчета об объеме закупок российских товаров, в том числе товаров, поставляемых при выполнении закупаемых работ, оказании закупаемых услуг, осуществленных в целях выполнения обязанности, предусмотренной частью 1 настоящего Федерального закона."
Статья 31. Требования к участникам закупки,"Участники закупки устанавливают единые требования к участникам закупки: соответствие требованиям, установленным в соответствии с законодательством Российской Федерации о налогах и сборах, недоимку по налогам, задолженности по иным обязательным платежам в бюджеты бюджетной системы РФ за прошедший календарный год."
Статья 32. Оценка заявок участников закупки и критерии этой оценки,"Для оценки заявок участников закупки заказчик использует следующие критерии: цена контракта, сумма цен единиц товара, работы, услуги, качественные, функциональные и экологические характеристики объекта закупки и квалификация специалистов и иных работников определенного уровня квалификации. Утратил силу только в случае, если настоящим Федеральным законом предусмотрена документация о закупке."
Статья 33. Правила описания объекта закупки,"Заказчик при составлении описания объекта закупки должен руководствоваться следующими правилами: в описании объекта должны указываться функциональные, технические и качественные характеристики, эксплуатационные характеристики, требования к товарам, информации, работам, услугам и другие требования, связанные с определением соответствия поставляемого товара, выполняемой работы, оказываемой услуги. Если такие требования или указания влекут за собой ограничение количества участников закупки, в таком описании должны содержаться обоснование необходимости использования других показателей, требований, условных обозначений и терминологии."
Статья 34. Контракт,"Контракт на поставку товаров, выполнение работы, оказание услуг по государственному оборонному заказу заключается на условиях, предусмотренных настоящим Федеральным законом. При заключении контракта указывается, что цена контракта является твердой и определяется на весь срок исполнения контракта."
Статья 35. Банковское сопровождение контрактов,"Правительство Российской Федерации определяет случаи осуществления банковского сопровождения контрактов, предметом которых являются поставки товаров, выполнение работ, оказание услуг соответственно для федеральных нужд, нужд субъекта РФ и муниципальных нужд. В соответствии с настоящей частью Федеральный закон от 31.12.2017 N 504-ФЗ определяет условия договоров, заключаемых с банком, а также требования к содержанию формируемых банками отчетов."
Статья 36. Отмена закупки,"Заказчик вправе отменить закупку с учетом требований, предусмотренных настоящей статьей Федерального закона от 02.07.2021 N 360-ФЗ. При проведении закрытых электронных процедур, закрытых конкурсов, закрытых аукционов заказчик не позднее чем за пять дней до даты окончания срока подачи заявок на участие в закупке возвращает участникам закупки поданные ими заявки и направляет таким участникам уведомление о размещении в единой информационной системе извещения об отмене закупки."
Статья 37. Антидемпинговые меры при проведении конкурса и аукциона,"Если при проведении конкурса или аукциона начальная (максимальная) цена контракта составляет более чем пятнадцать миллионов рублей и участником закупки, с которым заключается контракт, контракт заключается только после предоставления таким участником обеспечения исполнения контракта в размере, превышающем в полтора раза размер обеспечения выполнения контракта, указанного в извещении об осуществлении закупки, документации о закупке."
"Статья 38. Должностные лица заказчика, контрактная служба, контрактный управляющий","Контрактная служба, контрактный управляющий и другие должностные лица, ответственное за осуществление закупок, утратил силу с 1 октября 2019 года. В случае, если совокупный годовой объем закупок заказчика превышает сто миллионов рублей, контрактная служба назначает должностное лицо, ответственное за выполнение закупок или нескольких закупок, включая исполнение каждого контракта."
Статья 39. Комиссия по осуществлению закупок,"Заказчик создает комиссию по осуществлению закупок на оказание услуг специализированного депозитария и доверительного управления средствами пенсионных накоплений. В состав комиссии не могут быть физические лица, прошедшие профессиональную переподготовку или повышение квалификации в сфере закупок, а также лица творческих профессий в соответствующей области литературы или искусства."
Статья 40. Специализированная организация,"Заказчик вправе привлечь на основе контракта специализированную организацию для выполнения отдельных функций по определению поставщика (подрядчика, исполнителя), в том числе для разработки документации о закупке, размещения в единой информационной системе и на электронной площадке информации и электронных документов, предусмотренных настоящим Федеральным законом. Заказчик несет солидарную ответственность за вред, причиненный физическому лицу или юридическому лицу в результате незаконных действий специализированной организации."
"Статья 41. Эксперты, экспертные организации","Заказчики вправе привлекать экспертов, экспертные организации в случае, предусмотренном настоящим Федеральным законом, в целях экспертной оценки извещения об осуществлении закупки, документации о закупке и заявок на участие в экспертизе. Эксперты могут быть допущены в случаях, если заказчик или поставщик (подрядчик, исполнитель) прямо и косвенно может оказывать влияние на результат проведенной такими лицами экспертизы."
Статья 42. Извещение об осуществлении закупки,"Федеральный закон от 29 декабря 2012 года N 360-ФЗ «О государственном оборонном заказе» устанавливает правила использования каталога товаров, работ, услуг для обеспечения государственных и муниципальных нужд, установленные в соответствии с статьей 23 настоящего Федерального закона. При осуществлении закупки заказчик формирует в единой информационной системе извещение о закупке, содержащее следующую информацию: наименование, место нахождения, адрес электронной почты, номер контактного телефона и срок исполнения контракта."
Статья 43. Заявка на участие в закупке,"Для участия в конкурентном способе заявка на участие в закупке должна содержать информацию и документы об участнике закупки: фамилия, имя, отчество, идентификационный номер налогоплательщика и должность лица, имеющего право без доверенности действовать от имени юридического лица."
Статья 44. Обеспечение заявки на участие в закупке,"Заказчик обязан установить требование обеспечения заявок на участие в закупке в размере одной второй процента начальной (максимальной) цены контракта, если начальная (максимальная) цена контракта не превышает один миллион рублей, а независимую гарантию, предусмотренную статьей 45 настоящего Федерального закона."
Статья 45. Условия независимой гарантии. Реестры независимых гарантий,"Правительство Российской Федерации устанавливает требования к банкам к уровню кредитного рейтинга, присвоенному банку одним или несколькими кредитными рейтинговыми агентствами, соответствующими требованиям, установленным Правительством РФ, и признает утратившими силу отдельные положения законодательных актов РФ."
Статья 46. Запрет на проведение переговоров с участником закупки,"При применении конкурентных способов проведения переговоров заказчиком, членами комиссий по осуществлению закупок с участником закупки не допускается до выявления победителя определения поставщика (подрядчика, исполнителя), за исключением случаев, предусмотренных настоящим Федеральным законом."
Статья 47. Последствия нарушения положений настоящей главы,"В случае нарушения положений настоящей главы, регламентирующих определение поставщика (подрядчика, исполнителя), такое определение может быть признано недействительным по иску заинтересованного лица."
Статья 48. Проведение электронного конкурса,"Электронный конкурс начинается с размещения в единой информационной системе извещения об осуществлении закупок. Заявка на участие в закупке должна содержать информацию и документы, предусмотренные пунктами 2 и 3 части 1 статьи 43 настоящего Федерального закона."
Статья 49. Проведение электронного аукциона,"Участники электронной площадки могут подать заявки на участие в электронном аукционе ценовые предложения, предусматривающие снижение текущего минимального ценового предложения на величину, составляющую от 0,5 процента до 5 процентов начальной (максимальной) цены контракта либо начальной суммы цен единиц товара, работы, услуги (в случае, предусмотренном частью 24 статьи 22 настоящего Федерального закона)."
Статья 50. Проведение электронного запроса котировок,"Срок подачи заявок на участие в электронном запросе котировок начинается с размещения в единой информационной системе извещения об осуществлении закупки. Заявка должна содержать информацию и документы участников закупок, подавших такую заявку, а также иметь порядковый номер в порядке возрастания цены контракта, предусмотренный частью 24 статьи 22 настоящего Федерального закона."
Статья 51. Заключение контракта по результатам электронной процедуры,"Участники закупки, которые не отозваны в соответствии с настоящим Федеральным законом, должны подписать контракт с победителем определения поставщика (подрядчика, исполнителя) не позднее двух рабочих дней, следующих за днем размещения в единой информационной системе протокола подведения итогов определения поставщика, а также с иным участником закупки, с которым заключается контракт."
Статья 52. Признание открытого конкурентного способа несостоявшимся. Последствия такого признания,"Открытый конкурентный способ признается несостоявшимся в следующих случаях: по окончании срока подачи заявок на участие в закупке подана только одна заявка, соответствующая требованиям, установленным в извещении об осуществлении закупки."
Статья 62. Утратила силу с 1 января 2020 года. - Федеральный закон от 31.12.2017 N 504-ФЗ.,"Утратили силу с 1 января 2022 года - Федеральный закон от 02.07.2021 N 360-ФЗ. Утратил силу до 2022 года. - Федеральные законы, принятые в январе 2022 года, утратили свои силы до 2022 года, - федеральный закон от 207.2021 - 360-ФФЗ."
Статья 71. Утратила силу с 1 января 2022 года. - Федеральный закон от 02.07.2021 N 360-ФЗ.,"Определение поставщика (подрядчика, исполнителя) путем применения закрытых конкурентных способов (в ред. Федерального закона от 7 июля 2121 N 360-ФЗ) может быть осуществлено посредством использования закрытых конкурирующих способов."
Статья 72. Применение закрытых конкурентных способов,"В случае проведения закрытых конкурентных способов закупки не допускается предоставлять документацию о закупке, изменения, внесенные в документацию, разъяснения положений документации, проект контракта, протоколы, составленные при осуществлении закупки, а также документы, предусмотренные настоящим Федеральным законом, не подлежат размещению на официальном сайте, опубликованию в средствах массовой информации."
Статья 73. Проведение закрытого конкурса,"При проведении закрытого конкурса заказчик направляет приглашения всем участникам закупки, указанным в пункте 3 части 2 статьи 42 настоящего Федерального закона. При этом размер и порядок внесения платы за предоставление документации о закупке в случае ее установления в соответствии с настоящим Федеральным законом не должен превышать размер и размер платы за ее предоставление."
Статья 74. Проведение закрытого аукциона,"Закрытый аукцион проводится в порядке, установленном частями 1 - 9 статьи 73 настоящего Федерального закона для проведения закрытого конкурса и настоящей статьей. При этом срок подачи заявок на участие в закупке должен составлять не менее семи дней до даты окончания аукциона."
Статья 75. Проведение закрытого электронного конкурса,"При проведении закрытого электронного конкурса приглашение и документация о закупке направляются оператору специализированной электронной площадки, а также в течение одного часа, следующего за днем окончания срока, предусмотренного пунктом 1 статьи 42 настоящего Федерального закона."
Статья 76. Проведение закрытого электронного аукциона,"Закрытый электронный аукцион проводится в порядке, установленном частью 1 - 6 статьи 75 настоящего Федерального закона. Участники закупки, подавшие заявки на участие в аукционе, вправе принять участие в такой процедуре путем подачи ценовых предложений, предусматривающих снижение начальной (максимальной) цены контракта либо начальной суммы цен единиц товара, работы, услуги."
Статья 77. Признание закрытого конкурентного способа несостоявшимся. Последствия такого признания,"Закрытый конкурентный способ признается несостоявшимся в случаях, предусмотренных пунктами 1 и 2 части 1 статьи 52 настоящего Федерального закона. Если закрытый аукцион, закрытый электронный аукцион признаны несостоявшимися, контракт с участником закупки, подавшим заявку на участие в закупке, заключается в порядке, установленном настоящим Федеральным законом."
"Статья 93. Осуществление закупки у единственного поставщика (подрядчика, исполнителя)","Закупка у единственного поставщика (подрядчика, исполнителя) может осуществляться заказчиком в следующих случаях: закупка товаров, работ, услуг, которые относятся к сфере деятельности субъектов естественных монополий, а также услуги центрального депозитария. Положения настоящего Федерального закона не распространяются на случаи закупок, осуществляемых для обеспечения деятельности Президента Российской Федерации."
Статья 94. Особенности исполнения контракта,"Заказчик (подрядчик, исполнитель) в соответствии с условиями контракта обязан своевременно предоставить достоверную информацию о ходе исполнения контракта, в том числе о сложностях, возникающих при исполнении контракта. Экспертиза результатов, предусмотренных контрактом, может проводиться заказчиком своими силами или к ее проведению могут привлечь эксперты, экспертные организации на основании контракта."
"Статья 95. Изменение, расторжение контракта","Изменение существенных условий контракта при его исполнении не допускается, за исключением их изменения по соглашению сторон. При этом если по предложению заказчика увеличиваются предусмотренные контрактом количество товара, объем работы или услуги не более чем на десять процентов, стороны контракта обязаны уменьшить цену контракта пропорционально дополнительному количеству товара, дополнительному объему работы или услуги исходя из установленной в контракте цены единицы товара, работы или услуги."
Статья 96. Обеспечение исполнения контракта,"Заказчик вправе установить в извещении об осуществлении закупки, документации о закупке, проекте контракта, приглашении требование обеспечения исполнения контракта. Это может быть связано с заключение контракта жизненного цикла."
Статья 97. Мониторинг закупок,"Утратил силу с 1 октября 2019 года Федеральный закон от 01.05.2019 N 71-ФЗ. Мониторинг закупок осуществляется на постоянной основе посредством сбора, обобщения, систематизации и оценки информации об осуществлении закупок, в том числе реализации планов-графиков."
Статья 98. Аудит в сфере закупок,"Аудит в сфере закупок осуществляется Счетной палатой, контрольно-счетными органами субъектов Российской Федерации, образованными законодательными (представительными) органами государственной власти субъектов РФ и муниципальных образований. Для достижения целей осуществления закупок, указанной в части 1 настоящей статьи, органы аудита осуществляют анализ и оценку результатов закупок и обобщают данные о законности, целесообразности, об обоснованности, о своевременности, об эффективности и о результативности расходов на закупки."
Статья 99. Контроль в сфере закупок,"В соответствии с настоящим Федеральным законом и иными нормативными правовыми актами, определяющими функции и полномочия государственных органов и муниципальных органов, контроль в сфере закупок осуществляют следующие органы контроля в пределах их полномочий."
Статья 100. Ведомственный контроль в сфере закупок,"Государственные органы осуществляют ведомственный контроль за соблюдением контрактной системы в сфере закупок в отношении подведомственных им заказчиков в порядке, установленном соответственно Правительством Российской Федерации, высшим исполнительным органом государственной власти субъекта РФ, местной администрацией."
"Статья 101. Контроль в сфере закупок, осуществляемый заказчиком","Заказчик обязан осуществлять контроль за исполнением поставщиком условий контракта в соответствии с законодательством Российской Федерации. Заказчик обязанностей осуществляет контроль за привлечением к исполнению контракта субподрядчиков, соисполнителей из числа субъектов малого предпринимательства и социально ориентированных некоммерческих организаций."
Статья 102. Общественный контроль за соблюдением требований законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок,Граждане и общественные объединения и объединения юридических лиц вправе осуществлять общественный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в соответствии с настоящим Федеральным законом.
"Статья 103. Реестр контрактов, заключенных заказчиками","Федеральный орган исполнительной власти ведет реестр контрактов, заключенных заказчиками. В реестр не включается информация о контрактах, заключенных с физическими лицами, а также документы, подтверждающие основание заключения контракта."
"Статья 104. Реестр недобросовестных поставщиков (подрядчиков, исполнителей)","В реестр недобросовестных поставщиков (подрядчиков, исполнителей) включается информация об участниках закупок, уклонившихся от заключения контрактов, а также о поставщиках, не исполнивших или ненадлежащим образом исполнивших обязательства, предусмотренные контрактами."
Статья 105. Порядок подачи жалобы на действия (бездействие) субъектов контроля,"В соответствии с настоящим Федеральным законом участник закупки вправе обжаловать в судебном порядке действия (бездействие) субъекта (субъектов) контроля, если такие действия нарушают права и законные интересы участника закупки. При этом жалоба на положения извещения об осуществлении закупки, документации о закупке может быть подана до окончания срока подачи заявок на участие в закупке."
Статья 106. Рассмотрение жалобы по существу,"Контрольный орган в сфере закупок обязан рассмотреть жалобу по существу и возражение на жалобу в течение пяти рабочих дней, предшествующих дню рассмотрения жалобы по существу. Лица, имеющая право действовать от имени участника закупки, вправе участвовать в ее рассмотрении лично или через своих представителей."
Статья 107. Ответственность за нарушение законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок,"Лица, виновные в нарушении законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок, несут дисциплинарную, гражданско-правовую, административную, уголовную ответственность, а также обязаны возместить убытки, причиненные лицам в результате неправомерных действий."
Статья 108. Особенности заключения энергосервисных контрактов,"Энергосервисный контракт заключается отдельно от контрактов на поставки товаров, работ, услуг, относящихся к сфере деятельности субъектов естественных монополий, на оказание услуг по водоснабжению, водоотведению, теплоснабжению, газоснабжению, а также поставок электрической энергии, мазута, угля, топлива, используемого в целях выработки энергии."
"Статья 110. Особенности заключения государственных контрактов при осуществлении закупок товаров, работ, услуг, включаемых в государственный оборонный заказ, и закупок материальных ценностей, поставляемых в государственный материальный резерв","Правительство Российской Федерации вправе утвердить перечень товаров, работ, услуг, которые включаются в государственный оборонный заказ и при осуществлении закупок которых поставщики независимо от их организационно-правовых форм и форм собственности не вправе отказаться от заключения контракта. При этом цена контракта должна быть определена в соответствии со статьей 22 настоящего Федерального закона."
"Статья 110.1. Особенности заключения контракта, предметом которого являются создание произведения архитектуры, градостроительства или садово-паркового искусства и (или) разработка на его основе проектной документации объектов капитального строительства","Контракт, предметом которого является создание произведения архитектуры, градостроительства или садово-паркового искусства, должен содержать условия, согласно которым заказчик имеет право на многократное использование проектной документации объекта капитального строительства без согласия автора произведения."
"Статья 110.2. Особенности заключения и исполнения контракта, предметом которого является подготовка проектной документации и (или) выполнение инженерных изысканий, и контрактов, предметом которых являются строительство, реконструкция объектов капитального строительства","Контракт, предметом которого являются подготовка проектной документации и (или) выполнение инженерных изысканий, должен содержать условие, согласно которому с даты приемки результатов выполнения работ по указанному контракту исключительные права на результаты таких работ принадлежат Российской Федерации, субъекту РФ, муниципальному образованию, от имени которого выступает государственный или муниципальный заказчик."
Статья 111. Особенности осуществления закупок в соответствии с решением Правительства Российской Федерации,"Правительство Российской Федерации вправе определить особенности осуществления конкретной закупки, в том числе установить способ определения поставщика (подрядчика, исполнителя) и определить дополнительные условия исполнения контракта, не связанные с его предметом. Порядок осуществления закупок, установленный настоящим Федеральным законом, применяется к закупкам, в отношении которых установлены особенности ее осуществления."
"Статья 111.1. Особенности планирования и осуществления закупок на территории иностранного государства для обеспечения деятельности заказчиков, осуществляющих деятельность на территории иностранного государства","Заказчики, осуществляющие деятельность на территории иностранного государства, осуществляют закупки в порядке, установленном настоящим Федеральным законом для проведения закрытого конкурса, закрытого аукциона. Приглашение направляется не менее чем трем участникам закупок, а приглашение должно содержать информацию о возможности подачи заявки на участие в закупке в запечатанном конверте, не позволяющем просматривать содержание такой заявки до окончания срока."
Статья 111.2. Особенности исполнения контракта на оказание услуги по предоставлению кредита,"Право требования к заказчику по контракту на оказание услуги по предоставлению кредита может быть передано в залог Центральному банку Российской Федерации в обеспечение исполнения обязательств исполнителя по кредитам Центрального банка РФ, а в случае обращения взыскания на заложенное право требования - передано исполнителю в залог."
"Статья 111.3. Особенности осуществления закупки товара, производство которого создается или модернизируется и (или) осваивается на территории Российской Федерации в соответствии со специальным инвестиционным контрактом","Правительство Российской Федерации вправе определить сторону - инвестора специального инвестиционного контракта или привлеченное такой стороной-инвестором иное лицо, осуществляющее создание или модернизацию и (или) освоение производства товара на территории РФ в соответствии со специальным инвестиционным контрактом."
"Статья 111.4. Особенности осуществления закупки, по результатам которой заключается контракт со встречными инвестиционными обязательствами","В соответствии с настоящим Федеральным законом закупка, по результатам которой заключается контракт со встречными инвестиционными обязательствами, осуществляется на основании акта высшего исполнительного органа государственной власти субъекта Российской Федерации и с учетом следующих особенностей, предусмотренных настоящей статьей."
Статья 112. Заключительные положения,"Государственные и муниципальные контракты, гражданско-правовые договоры бюджетных учреждений на поставки товаров, работ, услуг для обеспечения государственных или муниципальных нужд, заключенные до дня вступления в силу настоящего Федерального закона, сохраняют свою силу. С 1 января 2022 года участники закупок применяют квалифицированные сертификаты ключей проверки электронных подписей для целей настоящего закона."
Статья 113. Признание утратившими силу отдельных законодательных актов (положений законодательных актов) Российской Федерации,"Федеральный закон от 21 июля 2005 года о размещении заказов на поставки товаров, выполнение работ, оказание услуг для государственных и муниципальных нужд будет утратит силу в связи с совершенствованием осуществления полномочий Правительства Российской Федерации."
Статья 114. Порядок вступления в силу настоящего Федерального закона,"Настоящий Федеральный закон вступает в силу с 1 января 2014 года, за исключением положений, для которых настоящей статьей установлены иные сроки вступления их в силу. Пункты 1 и 2 статьи 45 и 45 настоящего Федерального закона вступают в силу до 31 марта 2014 года."
