query,answer
"Каким образом осуществляется присоединение организации атомной отрасли к ЕОСЗ?"," Организации атомной отрасли присоединяются к Стандарту и распорядительным документам Корпорации в области закупок, выпущенным в развитие Стандарта, а также иным распорядительным документам, отраслевым решениям коллегиальных органов Корпорации, утвержденным (принятым) в соответствии с настоящим Стандартом и распространяющим свое действие на организации атомной отрасли. Присоединение организации атомной отрасли осуществляется путем оформления решения о присоединении уполномоченным органом организации в порядке, установленном законодательством, Стандартом, учредительными документами такой организации, а также распорядительными документами генерального директора Корпорации в соответствии с п. б) ч. 1 ст. 3.2."
"Какие закупки согласно ЕОСЗ являются конкурентными?","1. Конкурентная закупка в электронной форме, участниками которой с учетом особенностей, установленных Правительством Российской Федерации в соответствии с пунктом 2 части 8 статьи 3 настоящего Федерального закона, могут быть только субъекты малого и среднего предпринимательства (далее также - конкурентная закупка с участием субъектов малого и среднего предпринимательства), осуществляется в соответствии со статьями 3.2 и 3.3 настоящего Федерального закона и с учетом требований, предусмотренных настоящей статьей.2. Конкурентная закупка с участием субъектов малого и среднего предпринимательства осуществляется путем проведения конкурса в электронной форме, аукциона в электронной форме, запроса котировок в электронной форме или запроса предложений в электронной форме."
"Какие способы закупки являются торгами для заказчиков 1 группы?","К первой группе конкурентному способу закупок, относится весь остальной массив способов определения поставщиков: конкурс; аукцион; запрос котировок;запрос предложений."
"Какие способы закупки являются торгами для заказчиков 2 группы?","К второй группе конкурентному способу закупок, только конкурс; "
"На сколько групп разделяются заказчики атомной отрасли?","а) заказчики первой группы - заказчики, осуществляющие закупки, регулируемые Законом N 223-ФЗ и настоящим Стандартом;б) заказчики второй группы - заказчики, осуществляющие закупки, регулируемые настоящим Стандартом, и не регулируемые указанным законом.Один и тот же заказчик в зависимости от вида законодательного регулирования осуществляемой закупки может являться как заказчиком первой группы, так и заказчиком второй группы."
"Сведения составляющие государственную тайну, содержатся в проекте договора. Размещаются ли сведения о такой закупке на официальных сайтах, ЭТП и иных средствах массовой информации (в случае размещения)? ","Сведения, составляющие государственную тайну, в единой информационной системе не размещаются."
"На сколько типов разделяются заказчики атомной отрасли?","По объему полномочий в управлении закупочной деятельностью все организации атомной отрасли подразделяются на следующие типы:а) заказчик первого типа - Корпорация;б) заказчики второго типа - заказчики, для которых приказом Корпорации установлен РО - ЦЗК;в) заказчики третьего типа - заказчики, имеющие в качестве РО, кроме ЦЗК, также ПДЗК (в зависимости от предусмотренного Стандартом распределения их полномочий);г) заказчики четвертого типа - заказчики, не имеющие в качестве РО ЦЗК и/или ПДЗК и осуществляющие закупки в соответствии со Стандартом."
"Что такое продукция согласно ЕОСЗ?","товары, работы, услуги, иные объекты гражданских прав, приобретаемые заказчиком на возмездной основе"
"При проведении каких закупок не требуется создание закупочной комиссии?","Создание комиссионной группы для организации закупки у единственного поставщика не требуется. Такая комиссия нужна только при проведении конкурентных мероприятий (ч.1 ст.39 44-ФЗ). Обязанность по рассмотрению заявок ложится на самих заказчиков (п.6 ч.12 ст.93 44-ФЗ)."
"До какой стоимость закупки вруководитель организации враве принять решение о закупке у ЕП?","сведения о закупке у единственного поставщика с начальной (максимальной) ценой, не превышающей 500 тысяч рублей с НДС, при условии получения согласования заключения договора ПЗА заказчика (в случае отсутствия ПЗА у заказчика – согласование ПЗА вышестоящей организации: для организаций прямого управления таким подразделением является ПЗА Корпорации, а для организаций, включенных в регламент взаимодействия – ПЗА управляющей компании)"
"Кто может давать официальные разъяснения ЕОСЗ и распорядительных документов Росатома в области закупок?","Методолог Корпорации"
"Как осуществляется планирование закупок в атомной отрасли?","Планирование закупок осуществляется путем формирования ГПЗ, которая составляется на основании программ, планов, иных документов, определяющих деятельность заказчика с учетом его бюджета."
"На какой срок утверждается ГПЗ?","на 1 год"
"Кто в организации отвечает за обоснованность определения плановой стоимости закупки?","инициатор закупки"
"Заказчик планирует провести закупку образовательных услуг путем проведения мелкой закупки. Плановая стоимость составляет 70 000 рублей с НДС. Обязан ли заказчик включать в ГПЗ информацию о такой закупке? ","нет, не обязан"
"Заказчик планирует закупить информационно-консультационные услуги путем проведения запроса предложений. Плановая стоимость составляет 90 000 рублей с НДС. Обязан ли заказчик включать в ГПЗ информацию о такой закупке?","да, обязан закупка таких услуг регламенти"
"Планируется закупка продукции, влияющей на безопасность объектов использования атомной энергии. Плановая стоимость составляет 50 000 000 рублей. Каким способом закупки можно воспользоваться в этой ситуации?","запрос предложений или конкурс"
"Заказчик I группы планирует закупку легкового автомобиля стоимостью 5 000 000 рублей. Какими способами закупки сможет воспользоваться заказчик в этой ситуации?","аукцион, запрос котировок"
"Сколько источников информации нужно для обоснования НМЦ при проведении упрощенной закупки?","Три источника информации"
"Закупаются средства индивидуальной защиты персонала. Какое дополнительное требование может устанавливаться в документации для данной продукции?","о предоставлении контрольных образцов предлагаемой продукции"
"Укажите минимальный размер обеспечения заявки на участие в закупке","0,5 % НМЦ (цены лота)"
"Участнику закупки поступил запрос об уточнении заявки на участие в закупке. В какой срок участник должен ответить на такой запрос?","в течение 3 рабочих дней после размещения на официальном сайте протокола заседания комиссии об уточнении заявок"
"Какой минимальный срок подачи заявок должен установить заказчик I группы при внесении изменений в конкурсную документацию?","не менее 8 календарных дней"
"В какой срок размещается извещение об отменене закупки?","в день принятия решения заказчиком"
"В какие сроки заключается договор по итогам неконкурентной закупки?","не ранее 3 рабочих дней со дня размещения на официальном сайте аналитической записки/справки-обоснования о проведении закупки"
"Может ли председатель закупочной комиссии воздержаться от голосования при проведении заседания закупочной комисии?","не может"
"Может ли заседание закупочной комиссии быть проведено в заочной форме?","может"
"Если на заседании закупочной комиссии присутствует менее половины участников, является ли такое заседание правомочным?","не является"
"Какое количество членов закупочной комиссии с правом голоса соответствует рекомендациям ЕОСЗ?","не менее 5, не более 12"
"Кто принимает решение об отклонении участника закупки в случае несоответствия его установленнолму требованию?","закупочная комиссия"
"Когда утвержден ЕОСЗ?","Утвержден решениемнаблюдательного советаГоскорпорации «Росатом»от 07 февраля 2012 № 37"
"Какие функции и полномочия в установленных ЕОСЗ случаях заказчик может передать уполномоченному органу? ","  осуществляют в установленных Стандартом случаях функции и полномочия заказчика по закупочной деятельности, переданные на основании договора или соглашения между заказчиком и УО, заключаемых в соответствии со Стандартом и, при необходимости, корпоративными процедурами."
"Какие функции выполняет закупочная комиссия","осуществляют функции по принятию решений в рамках конкретной закупки, определенные приложением № 4. Состав закупочной комиссии и порядок ее работы определяются распорядительными документами заказчика (либо УО, если данная функция передана ему) с учетом положений приложения № 4."
"В каких случаях можно внести изменения в ГПЗ?","В течение календарного года возможны корректировки и изменения утвержденной ГПЗ в связи с :а) корректировками бюджета, инвестиционной, производственной и иных программ и мероприятий заказчика, если данные корректировки меняют сведения, указанные в ГПЗ; б) изменением предмета, способа, формы закупки, сроков приобретения продукции и исполнения договора, указанных в ГПЗ, в том числе при проведении повторной закупки;в) при изменении НМЦ более чем на 10% по сравнению с плановой стоимостью закупки, сделанном в процессе подготовки и утверждения извещения и документации о закупке."
"Что относится к существенным условиям договора","сведения, составляющие коммерческую тайну или служебную информацию ограниченного распространения, что подтверждено заключением ПДТК"
"Что должен содержать запрос ТКП?","условия исполнения договора по совокупности критериев, установленных в документации "
"Когда можно закупать продукцию без аналогов и эквивалентов?","в следующих случаях:(1) поставки вооружения, военной и специальной техники, военного имущества, принятых на вооружение, снабжение и/или в эксплуатацию;(2) если такие товарные знаки, знаки обслуживания, патенты, полезные модели, промышленные образцы, наименования места происхождения товара или наименования производителей указаны в государственном контракте и/или в договоре, заключенном заказчиком в целях выполнения ГОЗ."
"Когда нужно направлять дозапрос участнику закупки?","в случаях: (а) отсутствия в составе заявки требуемых документов и сведений; (б) предоставление требуемых документов и сведений не в полном объеме;(в) наличия неустранимых противоречий в представленных документах и сведениях;(г) нечитаемости представленных документов и сведений"
"В течение какого времени заказчик обязан осуществить разъяснение положений документации об открытой конкурентной закупке и разместить их в ЕИС?"," Ответ на запрос, организатор закупки обязуется официально разместить в тех же источниках, что и извещение, и документацию о закупке в течение 3 (трех) рабочих дней с даты поступления запроса и не позднее, чем за:(1) 2 (два) рабочих дня до даты окончания срока подачи заявок при проведении конкурса, аукциона / редукциона;(2) 1 (один) рабочий день до даты окончания срока подачи заявок при проведении запроса предложений / тендера, запроса котировок / запроса цен"
"Где найти формуэексертного заключения?","Эксперты представляют членам ЗК свои заключения, содержащие экспертное мнение о степени соответствия представленных заявок требованиям, установленным в извещении, документации о закупке, о выгодности предложенных условий, а также сравнительный анализ поступивших заявок с целью их оценки и сопоставления.В случае если эксперт заявляет о предпочтительности той или иной заявки, в заключении должны быть указаны обоснование предлагаемого решения, а также конкретные положения заявки участника закупки, превосходящие аналогичные положения заявок иных участников. Экспертные заключения оформляются документально и хранятся вместе с протоколами заседаний ЗК. Экспертные заключения не подлежат официальному размещению."
"Когда нужно проводить аудит достоверности данных?"," На отборочной стадии закупки"
"Какие требования предъявляются к аудиторам достоверности данных?","Требования при аудите достоверности данных в отношении предприятий-подрядчиков, сервисных предприятий утверждаются распорядительными документами генерального директора Корпорации и в дальнейшем указываются в закупочной документации"
"В уставном капитале акционерного общества 75% акций принадлежит Госкорпорации "Росатом". Является ли такое общество заказчиком согласно Закону №223-ФЗ?","да, заказчиком являются госкорпорации, госкомпании, хозяйственные общества и их дочерние и “внучатые” предприятия, в уставном капитале которых доля государственного участия превышает 50%."
"В какой разрешающий орган должен обащатся заказчик 3 типа?","Комиссия Корпорации и Комиссии ГО ХК (ИС)"
"В результате подготовки к закупке стоимость продукции увеличилась на 5%. Обязан ли заказчик в соответствии ЕОСЗ осуществить корректировку ГПЗ?","нет. при изменении НМЦ более чем на 10% по сравнению с плановой стоимостью закупки, сделанном в процессе подготовки и утверждения извещения и документации о закупке вносится корректировка"
"Предусмотрена ли Законом №223-ФЗ обязанность заказчика обосновывать начальную (максимальную) цену?","Норма эта была введена Федеральным законом от 05.04.2021 N 86-ФЗ (далее – Закон N 86-ФЗ) и действует с 16 апреля 2021 года. Эта новация предусматривает, что заказчики по Закону N 223-ФЗ должны обосновывать начальные цены своих закупок"
"В каких случаях заказчик обязан установить требование об обеспечении договора?","Заказчик вправе его установить только для закупок с начальной максимальной ценой договора не менее 5 млн рублей. Нет никакого ограничения по способу закупки. По 223 закону обеспечение заявки может быть установлено и при конкурсе, и при аукционе, и при запросе предложения, и при запросе котировок. То есть имеет значение максимальная цена договора. Если цена договора превышает 5 млн рублей, установленный размер обеспечения заявки будет не более 5% начальной максимальной цены договора."
"В каких случаях проводится конкурентная закупка в многоэтапной форме? ","В случаях, когда заказчик до начала закупки не имеет возможности установить требования к закупаемой продукции и условиям заключаемого договора, по разрешению генерального директора Корпорации или РО проводится конкурентная закупка в многоэтапной форме"
"В течение какого срока со дня заключения договора с победителем закупки ему возвращается обеспечение заявки на участие в закупке?","Денежные средства, внесенные в качестве обеспечения заявки на участие в закупке, возвращаются на счет участника закупки в течение не более чем 10 рабочих дней со дня наступления одного из следующих случаев:подписание итогового протокола (за исключением победителя закупки и участника закупки, заявке на участие в закупке которого присвоен второй порядковый номер);подписание договора (участнику закупки, с которым заключается договор, и участнику закупки, заявке на участие в закупке которого присвоен второй порядковый номер);отмена закупки;отзыв заявки на участие в закупке до окончания срока подачи заявок;получение заявки на участие в закупке после окончания срока подачи заявок;отказ заказчика от заключения договора с участником закупки;подписание протокола рассмотрения заявок и протокола отстранения от участия в процедуре закупки - участникам закупки, которым отказано в допуске к участию в процедуре закупки либо которые отстранены от закупки;окончание приема заявок - участникам закупки, заявки которых оставлены без рассмотрения, а также участникам, отозвавшим свои заявки. Возврат банковской гарантии в указанных случаях заказчиком предоставившему ее лицу или гаранту не осуществляется, взыскание по ней не производится."
"В каких случаях конкурентная закупка признается несостоявшейся?","В случае, если по окончании срока подачи заявок на участие в конкурентной закупке подана только одна заявка или не подано ни одной такой заявки, конкурентная закупка признается несостоявшейся"
